news_desk_id,news_desk
1,Adventure Sports
2,Arts & Leisure
3,Arts
4,Automobiles
5,Blogs
6,Books
7,Booming
8,Business Day
9,Business
10,Cars
11,Circuits
12,Classifieds
13,Connecticut
14,Crosswords & Games
15,Culture
16,DealBook
17,Dining
18,Editorial
19,Education
20,Energy
21,Entrepreneurs
22,Environment
23,Escapes
24,Fashion & Style
25,Favorites
26,Financial
27,Flight
28,Food
29,Foreign
30,Generations
31,Giving
32,Global Home
33,Health & Fitness
34,Health
35,Home & Garden
36,Jobs
37,Key
38,Letters
39,Long Island
40,Magazine
41,Market Place
42,Media
43,Men's Health
44,Metro
45,Movies
46,Museums
47,National
48,Nesting
49,Obituaries
50,Op-Ed
51,Opinion
52,Outlook
53,Personal Investing
54,Personal Tech
55,Play
56,Politics
57,Regionals
58,Retail
59,Retirement
60,Science
61,Small Business
62,Society
63,Sports
64,Style
65,Sunday Business
66,Sunday Review
67,Sunday Styles
68,T Magazine
69,T Style
70,Technology
71,Teens
72,Television
73,The Arts
74,The Business of Green
75,The City Desk
76,The City
77,The Marathon
78,The Millennium
79,The Natural World
80,The Upshot
81,The Weekend
82,The Year in Pictures
83,Theater
84,Then & Now
85,Thursday Styles
86,Times Topics
87,Travel
88,U.S.
89,Universal
90,Upshot
91,UrbanEye
92,Vacation
93,Washington
94,Wealth
95,Weather
96,Week in Review
97,Week
98,Weekend
99,Westchester
100,Wireless Living
101,Women's Health
102,Working
103,Workplace
104,World
105,Your Money
