section_name_id,section_name
1,Arts
2,Automobiles
3,Autos
4,Blogs
5,Books
6,Booming
7,Business
8,Business Day
9,Corrections
10,Crosswords & Games
11,Crosswords/Games
12,Dining & Wine
13,Editors' Notes
14,Education
15,Fashion & Style
16,Food
17,Front Page
18,Giving
19,Global Home
20,Great Homes & Destinations
21,Health
22,Home & Garden
23,International Home
24,Job Market
25,Learning
26,Magazine
27,Movies
28,Multimedia
29,NYRegion
30,NYT Now
31,National
32,New York
33,New York and Region
34,Obituaries
35,Olympics
36,Open
37,Opinion
38,Paid Death Notices
39,Public Editor
40,Real Estate
41,Science
42,Sports
43,Style
44,Sunday Magazine
45,Sunday Review
46,T Magazine
47,T:Style
48,Technology
49,The Public Editor
50,The Upshot
51,Theater
52,Times Topics
53,TimesMachine
54,Today's Headlines
55,Topics
56,Travel
57,U.S.
58,Universal
59,UrbanEye
60,Washington
61,Week in Review
62,World
63,Your Money
